County,Municipality Code,Municipality Name,2015 Population,2045 Population,Annualized % Population Change 2015-2045,2015 Households,2045 Households,Annualized % Household Change 2015-2045,2015 Employment,2045 Employment,Annualized % Employment Change 2015-2045
Bergen,3400300700,Allendale borough,"6,674","7,335",0.3%,"2,262","2,483",0.3%,"2,836","3,064",0.3%
Bergen,3400301090,Alpine borough,"1,849","1,849",0.0%,611,611,0.0%,415,415,0.0%
Bergen,3400305170,Bergenfield borough,"27,181","29,602",0.3%,"8,890","9,682",0.3%,"4,025","4,694",0.5%
Bergen,3400306490,Bogota borough,"8,284","9,397",0.4%,"2,773","3,136",0.4%,"1,015","1,336",0.9%
Bergen,3400310480,Carlstadt borough,"6,224","6,833",0.3%,"2,384","2,607",0.3%,"12,855","13,455",0.2%
Bergen,3400313570,Cliffside Park borough,"23,891","25,675",0.2%,"9,955","10,685",0.2%,"2,804","3,323",0.6%
Bergen,3400313810,Closter borough,"8,533","9,040",0.2%,"2,762","2,943",0.2%,"3,020","5,249",1.9%
Bergen,3400315820,Cresskill borough,"8,795","9,449",0.2%,"3,037","3,258",0.2%,"3,182","3,396",0.2%
Bergen,3400317530,Demarest borough,"4,981","5,497",0.3%,"1,608","1,771",0.3%,896,"1,037",0.5%
Bergen,3400318400,Dumont borough,"17,736","19,148",0.3%,"6,379","6,875",0.2%,"2,089","2,462",0.5%
Bergen,3400319510,East Rutherford borough,"9,105","9,626",0.2%,"3,822","4,065",0.2%,"11,991","24,173",2.4%
Bergen,3400320020,Edgewater borough,"11,944","13,740",0.5%,"5,753","6,577",0.4%,"4,862","5,648",0.5%
Bergen,3400321300,Elmwood Park borough,"19,820","22,087",0.4%,"7,085","7,879",0.4%,"8,985","9,823",0.3%
Bergen,3400321450,Emerson borough,"7,561","8,263",0.3%,"2,500","2,726",0.3%,"2,508","2,729",0.3%
Bergen,3400321480,Englewood city,"27,753","30,631",0.3%,"10,142","11,246",0.3%,"15,193","16,218",0.2%
Bergen,3400321510,Englewood Cliffs borough,"5,366","5,883",0.3%,"1,830","2,000",0.3%,"9,065","9,576",0.2%
Bergen,3400322470,Fair Lawn borough,"33,524","36,933",0.3%,"12,115","13,424",0.3%,"12,344","13,447",0.3%
Bergen,3400322560,Fairview borough,"14,061","15,149",0.2%,"4,868","5,236",0.2%,"2,535","2,829",0.4%
Bergen,3400324420,Fort Lee borough,"39,521","43,747",0.3%,"17,752","20,099",0.4%,"15,545","16,820",0.3%
Bergen,3400324990,Franklin Lakes borough,"10,844","11,853",0.3%,"3,561","4,096",0.5%,"8,165","8,480",0.1%
Bergen,3400325770,Garfield city,"31,258","34,888",0.4%,"11,206","12,641",0.4%,"5,942","6,943",0.5%
Bergen,3400326640,Glen Rock borough,"11,838","13,129",0.3%,"3,944","4,364",0.3%,"2,821","3,208",0.4%
Bergen,3400328680,Hackensack city,"43,768","50,013",0.4%,"18,222","21,288",0.5%,"42,488","45,032",0.2%
Bergen,3400330150,Harrington Park borough,"4,764","5,263",0.3%,"1,604","1,767",0.3%,"1,111","1,344",0.6%
Bergen,3400330420,Hasbrouck Heights borough,"12,055","13,228",0.3%,"4,453","4,875",0.3%,"4,038","4,442",0.3%
Bergen,3400330540,Haworth borough,"3,474","4,025",0.5%,"1,124","1,299",0.5%,823,992,0.6%
Bergen,3400331920,Hillsdale borough,"10,456","11,676",0.4%,"3,525","3,927",0.4%,"2,426","2,796",0.5%
Bergen,3400332310,Ho-Ho-Kus borough,"4,195","4,702",0.4%,"1,421","1,594",0.4%,"1,162","1,334",0.5%
Bergen,3400340020,Leonia borough,"9,118","10,047",0.3%,"3,306","3,635",0.3%,"2,409","2,710",0.4%
Bergen,3400340680,Little Ferry borough,"10,765","11,656",0.3%,"4,245","4,590",0.3%,"2,983","3,287",0.3%
Bergen,3400341100,Lodi borough,"24,553","26,831",0.3%,"9,508","10,365",0.3%,"5,674","6,416",0.4%
Bergen,3400342090,Lyndhurst township,"21,039","23,989",0.4%,"8,415","9,756",0.5%,"11,080","12,004",0.3%
Bergen,3400342750,Mahwah township,"26,358","28,193",0.2%,"9,547","10,320",0.3%,"15,587","19,698",0.8%
Bergen,3400344880,Maywood borough,"9,776","11,170",0.4%,"3,682","4,195",0.4%,"3,090","3,588",0.5%
Bergen,3400346110,Midland Park borough,"7,265","7,885",0.3%,"2,772","3,002",0.3%,"3,754","4,003",0.2%
Bergen,3400347610,Montvale borough,"8,067","8,896",0.3%,"2,816","3,099",0.3%,"11,055","11,543",0.1%
Bergen,3400347700,Moonachie borough,"2,776","3,247",0.5%,"1,016","1,183",0.5%,"5,614","5,903",0.2%
Bergen,3400351660,New Milford borough,"16,644","18,344",0.3%,"6,172","6,771",0.3%,"2,482","2,977",0.6%
Bergen,3400352320,North Arlington borough,"15,626","17,079",0.3%,"6,308","6,879",0.3%,"3,013","3,490",0.5%
Bergen,3400353430,Northvale borough,"4,757","5,224",0.3%,"1,580","1,732",0.3%,"3,816","4,222",0.3%
Bergen,3400353610,Norwood borough,"5,836","6,339",0.3%,"1,943","2,107",0.3%,"1,909","2,066",0.3%
Bergen,3400353850,Oakland borough,"13,037","13,665",0.2%,"4,371","4,625",0.2%,"5,187","5,349",0.1%
